time,x,y,z
1781180475.0274487,34.73447635769844,-64.91577625274658,-929.1134476661682
1781180475.058791,34.81380268931389,-65.01997262239456,-929.3447136878967
1781180475.0899758,34.81650725007057,-64.9736076593399,-929.0626049041748
1781180475.120246,34.80427712202072,-64.99269604682922,-929.2817711830139
1781180475.151778,34.80975329875946,-65.03071635961533,-929.3691515922546
1781180475.1826205,34.91346538066864,-65.15049934387207,-930.3412437438965
1781180475.2151186,34.986358135938644,-65.18317759037018,-931.4913749694824
1781180475.2469056,35.00152751803398,-65.2628168463707,-932.2605133056641
1781180475.2782402,35.14539077877998,-65.40883332490921,-934.0710639953613
1781180475.3093224,35.054076462984085,-65.55984914302826,-934.0620040893555
1781180475.3394732,34.98033806681633,-65.58908522129059,-933.6584806442261
1781180475.3706899,34.94250774383545,-65.59287011623383,-933.5258603096008
1781180475.4019833,35.01486033201218,-65.65672159194946,-933.3319664001465
1781180475.4341369,35.03280505537987,-65.53645431995392,-933.1793189048767
1781180475.465548,35.032376646995544,-65.47311693429947,-932.8438639640808
1781180475.4957154,34.89050641655922,-65.3088390827179,-931.8066239356995
1781180475.5264595,34.79399159550667,-65.27326256036758,-931.3415884971619
1781180475.558553,35.07328778505325,-65.28787314891815,-933.5646629333496
1781180475.5911644,35.08250042796135,-65.39465487003326,-933.9001774787903
1781180475.622693,34.998297691345215,-65.46005606651306,-933.8595271110535
1781180475.6538262,34.95157137513161,-65.48066437244415,-933.3808422088623
1781180475.6850646,34.88346189260483,-65.43031334877014,-932.7805042266846
1781180475.7162073,34.90972891449928,-65.31669199466705,-932.0735931396484
1781180475.7476656,34.834861755371094,-65.23502618074417,-931.3316941261292
1781180475.7788625,34.799255430698395,-65.06336480379105,-930.4918646812439
1781180475.8096445,34.81059893965721,-65.00502675771713,-929.9677610397339
1781180475.8410208,34.829143434762955,-65.04257023334503,-929.7947883605957
1781180475.8720126,34.82915833592415,-65.10906666517258,-929.6593070030212
1781180475.9031854,34.76403281092644,-65.05326926708221,-929.2325377464294
1781180475.934029,34.75354239344597,-65.04156440496445,-929.1441440582275
1781180475.9650059,34.72397103905678,-64.99209254980087,-929.215133190155
1781180475.9961097,34.77919101715088,-65.00110030174255,-929.3726086616516
1781180476.0268762,34.78803485631943,-65.00256806612015,-929.2012453079224
1781180476.0573955,34.77305918931961,-65.07416814565659,-929.7664761543274
1781180476.0884445,34.788183867931366,-65.09145349264145,-929.8095107078552
1781180476.118876,34.776471555233,-64.98629599809647,-929.5246601104736
1781180476.1506655,34.76523980498314,-65.03227353096008,-929.5935034751892
1781180476.1816442,34.77521240711212,-64.98746573925018,-929.5245409011841
1781180476.2120962,34.748375415802,-64.96257334947586,-929.29607629776
1781180476.2433739,34.80284661054611,-65.07650762796402,-929.6507835388184
1781180476.2749107,34.78981554508209,-65.02669304609299,-929.5236468315125
1781180476.3059883,34.79217365384102,-65.04382193088531,-929.4401407241821
1781180476.33653,34.79330614209175,-65.0302916765213,-929.4744729995728
1781180476.3669195,34.81653705239296,-65.05635380744934,-929.5217394828796
1781180476.397252,34.82608497142792,-64.99350816011429,-929.4129014015198
1781180476.4284072,34.51307862997055,-64.61600214242935,-927.9577732086182
1781180476.4605267,34.59109738469124,-64.51670825481415,-927.3121953010559
1781180476.4921598,34.76499021053314,-64.73700702190399,-927.4139404296875
1781180476.5232227,34.7808338701725,-64.84616547822952,-928.0572533607483
1781180476.5547268,34.81398522853851,-64.96415287256241,-929.274320602417
1781180476.5862443,34.8077155649662,-64.9513229727745,-929.1988611221313
1781180476.6184592,34.809719771146774,-65.01224637031555,-929.669976234436
1781180476.650046,34.81816127896309,-65.09324163198471,-929.8219084739685
1781180476.6816971,34.87039729952812,-65.09892642498016,-930.0787448883057
1781180476.7125773,34.838300198316574,-65.12743979692459,-930.1679730415344
1781180476.744622,34.794777631759644,-64.99562412500381,-929.6647906303406
1781180476.7762585,34.84102711081505,-65.03952294588089,-929.8444986343384
1781180476.8072355,34.85725447535515,-65.1126503944397,-929.9167990684509
1781180476.8385003,34.8409041762352,-65.09226560592651,-930.0974011421204
1781180476.8700182,34.83650088310242,-65.00175595283508,-929.8375844955444
1781180476.9011345,34.86393764615059,-64.97842818498611,-929.7236800193787
1781180476.9325342,34.850310534238815,-65.03555178642273,-929.867148399353
1781180476.9648616,34.84058752655983,-65.08804857730865,-929.8098087310791
1781180476.995958,34.84157845377922,-65.04867225885391,-929.8617243766785
1781180477.0270133,34.86073389649391,-65.00343233346939,-929.7302961349487
1781180477.0590491,34.837182611227036,-64.99764323234558,-929.4975996017456
1781180477.0906732,34.80014577507973,-64.99213725328445,-929.2734265327454
1781180477.1215982,34.753426909446716,-64.99461829662323,-929.0260672569275
1781180477.1522326,34.83346477150917,-64.97117877006531,-929.4894337654114
1781180477.1821816,34.83177348971367,-64.96236473321915,-929.5810461044312
1781180477.212826,34.84058007597923,-65.01878798007965,-929.8800826072693
1781180477.243724,34.860145300626755,-65.03697484731674,-929.8233389854431
1781180477.2756135,34.85257551074028,-64.9944469332695,-929.7379851341248
