time,x,y,z,tracker_x0,tracker_y0,tracker_z0,qw,qx,qy,qz,raw_roll,raw_pitch,raw_yaw,unwrapped_roll,unwrapped_pitch,unwrapped_yaw
3.902088,0.221865,0.038791,0.231344,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.033599,0.265833,-0.963329,0.0142,-179.45453642154283,-4.145151024645084,-149.16580691103005,180.54546357845717,-4.145151024645084,-149.16580691103005
3.904068,0.221873,0.038979,0.23196,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.033513,0.265743,-0.963356,0.014221,-179.44919976140622,-4.136230985427111,-149.1766996148432,180.55080023859378,-4.136230985427111,-149.1766996148432
3.910087,0.221883,0.03917,0.232579,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.03344,0.265641,-0.963387,0.014246,-179.443767747103,-4.128866764205736,-149.1891199772343,180.556232252897,-4.128866764205736,-149.1891199772343
3.91807,0.221909,0.039559,0.233819,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.033284,0.265391,-0.963459,0.014344,-179.42709282867756,-4.1144545393033765,-149.21943091294378,180.57290717132244,-4.1144545393033765,-149.21943091294378
3.922066,0.221927,0.039758,0.234443,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.033184,0.265248,-0.963501,0.014415,-179.4155766213973,-4.105473734863962,-149.23689936319107,180.5844233786027,-4.105473734863962,-149.23689936319107
3.926072,0.221945,0.03996,0.23507,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.033048,0.265108,-0.963543,0.014485,-179.4030909540888,-4.092479197901603,-149.25402610473566,180.5969090459112,-4.092479197901603,-149.25402610473566
3.930105,0.221965,0.040164,0.235701,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.032868,0.264978,-0.963584,0.01455,-179.3898671533097,-4.074471297582122,-149.2700258351065,180.6101328466903,-4.074471297582122,-149.2700258351065
3.934061,0.221814,0.040069,0.236034,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.032543,0.264541,-0.963716,0.014541,-179.37914503563084,-4.037984666912825,-149.32258085060906,180.62085496436916,-4.037984666912825,-149.32258085060906
3.938085,0.22183,0.040273,0.236666,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.032266,0.264428,-0.963755,0.014589,-179.36494940160753,-4.008732804352567,-149.3365636369888,180.63505059839247,-4.008732804352567,-149.3365636369888
3.946119,0.221858,0.040688,0.237939,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.031672,0.264213,-0.963833,0.014641,-179.34028621768192,-3.9444758546399368,-149.36320330778253,180.65971378231808,-3.9444758546399368,-149.36320330778253
3.950076,0.22187,0.040899,0.238579,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.031378,0.26411,-0.963871,0.01465,-179.32995821605977,-3.91216469643805,-149.37592798365068,180.67004178394023,-3.91216469643805,-149.37592798365068
3.954099,0.221991,0.039914,0.238893,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.031175,0.263727,-0.963983,0.014572,-179.33089496502657,-3.8870848901188944,-149.4214608159453,180.66910503497343,-3.8870848901188944,-149.4214608159453
3.958043,0.221999,0.04011,0.239528,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.030903,0.263638,-0.964017,0.014567,-179.3228625663927,-3.8567901810265015,-149.4324721032594,180.6771374336073,-3.8567901810265015,-149.4324721032594
3.962084,0.222003,0.040306,0.240164,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.030639,0.263554,-0.964048,0.014546,-179.31686820294712,-3.8268937902516265,-149.44268313851794,180.68313179705288,-3.8268937902516265,-149.44268313851794
3.966109,0.222005,0.040504,0.240799,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.030408,0.263475,-0.964078,0.014513,-179.31322656017468,-3.80029242733237,-149.45232301773686,180.68677343982532,-3.80029242733237,-149.45232301773686
3.974058,0.222113,0.039786,0.241789,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.029971,0.263022,-0.964213,0.014677,-179.28009308705583,-3.756572986686326,-149.50733570612354,180.71990691294417,-3.756572986686326,-149.50733570612354
3.978068,0.222101,0.039967,0.24241,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.029901,0.262956,-0.964232,0.014696,-179.27561936148524,-3.7493497669064793,-149.51526078149334,180.72438063851476,-3.7493497669064793,-149.51526078149334
3.982061,0.222086,0.040147,0.243027,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.029889,0.262893,-0.964249,0.014766,-179.2672610051749,-3.7500863329421246,-149.5230498420402,180.7327389948251,-3.7500863329421246,-149.5230498420402
3.986092,0.222067,0.040326,0.243641,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.029922,0.262838,-0.964261,0.01489,-179.25430948544417,-3.7574312592716383,-149.52996405198007,180.74569051455583,-3.7574312592716383,-149.52996405198007
3.990231,0.222046,0.040504,0.244252,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.029997,0.262788,-0.964269,0.015072,-179.23621856237767,-3.7711709185116473,-149.53639502810373,180.76378143762233,-3.7711709185116473,-149.53639502810373
