x,y,z,roll,pitch,yaw
211.487,-583.743,1620.659,-106.081,56.513,-167.34
203.049,-592.22,1616.856,-107.337,59.495,-165.412
209.758,-586.445,1619.18,-108.299,58.969,-167.159
205.488,-569.498,1617.17,-103.337,57.894,-161.856
203.881,-557.627,1617.057,-105.035,59.199,-163.643
224.497,-533.214,1624.544,-104.334,56.521,-166.93
252.363,-508.424,1642.186,-101.501,51.847,-169.981
280.413,-495.866,1676.614,-100.879,45.784,-171.956
299.487,-490.988,1709.666,-103.613,42.694,-176.27
309.131,-491.861,1728.581,-105.246,39.462,-175.608
306.156,-494.293,1735.954,-105.407,38.944,-174.458
284.369,-510.282,1731.933,-107.328,42.295,-173.137
234.049,-538.603,1705.073,-108.541,50.355,-167.751
184.617,-563.496,1656.194,-110.663,60.393,-167.452
170.189,-563.446,1606.744,-109.106,66.252,-165.1
186.117,-539.857,1578.413,-107.357,66.386,-165.69
209.649,-518.353,1571.138,-109.452,64.58,-171.207
234.665,-507.515,1578.543,-108.296,60.561,-172.846
258.53,-503.044,1603.936,-106.208,54.785,-171.823
270.237,-512.312,1641.451,-109.375,50.986,-173.965
262.422,-525.602,1667.047,-109.187,49.61,-171.44
236.802,-546.699,1668.048,-112.036,53.109,-172.347
203.6,-561.148,1635.834,-115.683,59.466,-174.19
184.0,-564.766,1597.832,-122.082,66.285,179.45
180.962,-563.15,1576.53,-121.696,68.281,178.256
181.359,-559.643,1566.799,-121.948,68.922,176.465
181.162,-559.68,1566.074,-120.29,68.676,177.962
180.522,-558.475,1570.43,-117.754,68.296,-179.607
183.756,-556.636,1575.343,-117.56,67.523,-179.883
190.576,-552.997,1578.008,-117.728,66.701,179.366
204.051,-545.397,1580.568,-119.39,66.611,177.666
234.076,-527.743,1590.852,-121.669,64.578,174.36
273.806,-511.164,1605.192,-121.411,59.074,171.446
310.552,-497.262,1617.278,-116.535,51.553,176.99
323.615,-494.231,1622.294,-114.886,49.989,177.839
306.531,-506.098,1620.588,-115.94,52.963,177.852
262.403,-520.881,1607.672,-113.888,56.703,-175.719
208.784,-539.084,1591.418,-114.035,60.19,-174.953
160.289,-552.33,1578.3,-112.781,62.591,-174.12
123.917,-558.902,1571.174,-107.871,63.54,-168.828
99.733,-567.578,1567.293,-104.863,64.253,-164.892
85.36,-581.054,1566.718,-105.671,65.142,-165.114
81.875,-582.691,1568.709,-106.997,65.104,-166.347
94.524,-580.821,1573.521,-108.75,63.764,-168.95
119.803,-568.443,1581.314,-109.713,61.587,-170.986
154.605,-558.382,1593.433,-109.785,58.803,-172.897
191.487,-544.722,1607.49,-109.105,55.907,-173.889
228.368,-528.672,1621.984,-108.168,53.055,-174.693
253.423,-516.462,1631.236,-106.853,50.632,-175.252
270.069,-507.035,1636.956,-105.729,49.51,-175.18
276.517,-501.394,1638.133,-103.824,48.337,-172.778
268.097,-501.742,1633.686,-102.903,49.214,-170.912
238.317,-511.644,1621.335,-101.697,51.586,-166.096
191.62,-529.067,1601.495,-101.128,56.82,-161.689
141.107,-549.459,1578.051,-97.705,60.291,-153.782
97.68,-566.261,1554.614,-93.948,63.753,-147.515
72.144,-574.559,1537.967,-89.628,65.604,-142.192
81.368,-498.902,1519.151,-99.598,51.3,-132.78
84.109,-479.858,1520.63,-87.411,51.732,-132.959
135.897,-607.023,1517.686,-87.613,36.781,-151.321
172.53,-646.387,1551.574,-94.505,51.572,-156.257
191.131,-700.854,1598.724,-98.323,52.462,-161.48
225.567,-717.722,1638.511,-97.825,50.744,-163.65
232.08,-568.38,1644.346,-96.984,50.044,-163.131
240.627,-552.57,1644.793,-99.663,49.897,-161.747
223.912,-557.24,1635.682,-101.907,53.043,-162.441
187.586,-548.666,1616.371,-100.378,56.068,-158.518
149.469,-556.358,1595.834,-101.474,59.83,-158.857
112.939,-573.034,1572.788,-103.224,64.237,-159.572
85.881,-579.27,1551.055,-102.769,67.135,-158.192
70.296,-573.393,1535.157,-95.96,66.617,-151.341
69.727,-574.985,1534.056,-98.277,66.995,-155.304
86.086,-440.365,1541.484,-89.202,54.412,-137.642
108.004,-399.536,1563.389,-93.084,55.313,-146.608
139.527,-352.134,1590.596,-99.936,53.839,-154.996
181.761,-407.61,1623.991,-102.243,50.049,-159.9
222.238,-462.255,1651.098,-101.991,45.735,-161.823
237.602,-454.48,1658.833,-101.72,43.592,-162.479
246.502,-481.67,1664.383,-102.36,43.686,-164.576
238.063,-491.64,1659.955,-102.596,44.524,-164.132
217.77,-508.111,1648.857,-103.628,47.702,-164.571
186.375,-533.803,1627.045,-105.688,52.091,-166.659
147.969,-553.111,1596.622,-107.967,57.124,-169.031
117.472,-565.925,1567.218,-106.658,61.81,-166.425
97.012,-572.456,1545.345,-107.836,65.506,-167.188
87.578,-581.152,1532.721,-109.028,66.959,-168.087
89.76,-579.138,1532.431,-110.8,66.751,-169.622
100.735,-571.018,1541.536,-111.854,64.933,-170.755
119.798,-558.316,1558.746,-113.732,62.336,-173.513
149.029,-562.804,1583.362,-114.514,58.14,-176.578
180.267,-550.732,1607.942,-111.337,53.214,-174.731
207.302,-538.089,1626.106,-107.834,48.332,-172.186
216.611,-533.138,1632.369,-106.878,46.77,-171.435
196.073,-537.82,1622.374,-105.008,49.396,-166.748
154.317,-555.166,1596.723,-106.972,54.578,-165.987
110.627,-572.046,1561.783,-112.28,61.549,-169.923
85.959,-579.253,1539.198,-114.843,66.51,-168.523
88.034,-578.454,1545.196,-114.066,65.125,-167.081
113.089,-578.798,1574.119,-123.72,60.64,-35.486
148.871,-574.753,1605.351,-123.363,53.578,178.951
179.756,-570.885,1624.834,-119.862,48.199,-177.038
200.963,-567.805,1634.376,-120.978,44.59,-177.394
211.964,-569.986,1640.408,-120.239,42.694,-175.655
216.907,-576.602,1642.592,-119.946,42.336,-175.249
217.407,-583.074,1642.61,-119.938,42.915,-176.574
215.116,-585.681,1641.671,-119.622,42.904,-174.964
214.628,-583.399,1641.09,-119.505,42.678,-175.68
