time,x,y,z,roll,pitch,yaw
21.451396,0.084481,0.053624,0.303134,175.03621484196648,-12.576161765981169,-175.53922981913922
21.455348,0.08444,0.053636,0.303166,175.12742406252806,-12.533256069298744,-175.56494180512854
21.461369,0.084533,0.054392,0.302986,175.8355784557561,-11.706593453749548,-175.34911271053406
21.465349,0.084523,0.054362,0.303009,175.90049242004116,-11.67721700825594,-175.35853848735226
21.46742,0.08452,0.054323,0.303031,175.9661288530408,-11.647523152906071,-175.36824371339307
21.475333,0.08452,0.054234,0.303071,176.09780278150922,-11.592992734035422,-175.38842466656948
21.481337,0.084696,0.054187,0.302895,177.36705866560516,-10.855366940444164,-174.3856356111258
21.48538,0.084699,0.054149,0.302909,177.41055499220846,-10.837886280676027,-174.38995006958407
21.487363,0.084704,0.054109,0.302925,177.4535002938906,-10.817143796975941,-174.39404915275747
21.491407,0.08471,0.054065,0.30294,177.5019807433444,-10.796918416788111,-174.39968630773336
21.497411,0.084716,0.054022,0.302956,177.5491721075444,-10.774551063911423,-174.40523253206536
21.501419,0.083334,0.057056,0.301646,172.26970369268628,-14.224097871749423,-175.54141954909923
21.505422,0.083344,0.056982,0.301668,172.338846499156,-14.197399835596842,-175.56430561248283
21.509518,0.083355,0.056908,0.30169,172.41023607615804,-14.167877564041957,-175.587744967389
21.511497,0.083366,0.056834,0.301712,172.48502184160617,-14.137224540090939,-175.6121176141011
21.521385,0.082701,0.057998,0.301132,169.9290815693871,-15.956449788390378,-176.05637560751097
21.525479,0.082714,0.05791,0.301156,170.01528041632739,-15.923189900819454,-176.0951243028135
21.527347,0.082727,0.057821,0.301181,170.1062069931967,-15.889468365944813,-176.1346409288471
21.533391,0.082739,0.057732,0.301206,170.20274602296638,-15.855459800682688,-176.1751624849827
21.535357,0.082753,0.057644,0.30123,170.3001065286857,-15.819119556657714,-176.21476532926306
21.539406,0.082304,0.058468,0.300821,168.4425071295375,-17.10892798581075,-176.32984817226244
21.545359,0.082317,0.058376,0.300846,168.5418481091413,-17.07177044882979,-176.3785821478619
